old_name,fix_name
camp_7,camp_7
camp_10,camp_10
camp_15,camp_15
camp_18,camp_18
camp_4,camp_4
camp_16,camp_16
camp_13,camp_13
camp_9,camp_9
camp_8_w,camp_8_w
camp_14,camp_14
camp_5,camp_5
camp_8_e,camp_8_e
camp_17,camp_17
camp_24,camp_24
camp_3,camp_3
camp_19,camp_19
camp_22,camp_22
camp_26,camp_26
camp_1_e,camp_1_e
camp_12,camp_12
camp_6,camp_6
camp_2_w,camp_2_w
camp_21,camp_21
jantoli,camp_15
camp_27,camp_27
camp_23,camp_23
camp_2_e,camp_2_e
camp_1_w,camp_1_w
leda,camp_24
jamtoli,camp_15
camp_4_ext,camp_4_ext
"Block-C,Sub Block-C-",need_to_remove
hakimpara,camp_14
camp_20,camp_20
camp_11,camp_11
1_e,camp_1_e
unchiprang,camp_22
samlapur,camp_23
camp_25,camp_25
maynargona,need_to_remove
cam_15,camp_15
4_ext,camp_4_ext
"KMS,Camp, D5 ,2W",camp_2_w
moynargona,need_to_remove
unchipran,camp_22
jcamp_2,need_to_remove
Camp-8,need_to_remove
"Block: OO - 26, Camp",need_to_remove
"Block-D,Sub Block-D-",need_to_remove
25_alikhali_d_10,camp_25
"Bloc-G-Sub-G-6,Camp-",need_to_remove
"Camp-2, Block-B1",need_to_remove
25_alikhali_d_7,camp_25
"Camp-01, D-4",camp_1_e
25_alikhali_d_11,camp_25
8_w_a_48,camp_8_w
kms_2_w,camp_2_w
"Camp-1, Block-D4F, N",need_to_remove
2_w_kmsd_4,camp_2_w
camp_20_ext,camp_20_ext
sub_block_r_1_block_b,need_to_remove
"Block-G,Sub Block-G-",need_to_remove
sub_block_r_1_block_c,need_to_remove
"Block-A,Sub Block-A-",need_to_remove
"Block-E3, Camp-2",need_to_remove
8_w_a_45,camp_8_w
"Block-D4EE, Camp-2",camp_2_e
"Block-H,Sub Block-H-",need_to_remove
i_2,need_to_remove
"Block-D4EE, Camp-1",camp_1_e
k_s_m_2_e_blok_d_1,camp_2_e
25_alikhali_d_19,camp_25
8_w_a_56,camp_8_w
unchigpran,camp_22
1_w,camp_1_w
h,need_to_remove
"Balukhali,Bloc-C-SUB",need_to_remove
"Block-B,Sub Block-b-",need_to_remove
"Block-c,Sub block-c-",need_to_remove
"Block-C,Sub Bloxk-C-",need_to_remove
"C-1,13Ablock",need_to_remove
"c-1,b.I3D",need_to_remove
"C-1,B.I3L",need_to_remove
"Camp-01, B- I,2,B-5",need_to_remove
"Camp-01, B-,D-4 New",need_to_remove
"Camp-01, B-,D-4,F-11",camp_1_e
"Camp-1, B-I3C",need_to_remove
Camp -1 Block I B,need_to_remove
camp_1_i_3_e,need_to_remove
camp_7_hill_4,need_to_remove
kms_2_w_b_f_1,camp_2_w
kms_block_f_1_camp_2_w,camp_2_w
"Block-G,Sub Block-8,",need_to_remove
B I3 B (C-1),need_to_remove
"C-1,B-I3H",need_to_remove
camp_3_aa_15,camp_3
"Sub Block-A-6,Camp-1",need_to_remove
"Sub Block-b-7,Camp-1",need_to_remove
"Block,B,Sub Block-B-",need_to_remove
"C-1,B-I3K",need_to_remove
"Sub Block-B-8,Camp-1",need_to_remove
"Sub Block-A-3,Camp-1",need_to_remove
"Sub Block-E-7,Camp-1",need_to_remove
jadimura,camp_27
"KMS,Camp,Block- E2 ,",need_to_remove
"Sub-Block-A-2,Camp-1",need_to_remove
24_camp_1_o,need_to_remove
24_camp_18,need_to_remove
25_alikhali,camp_25
8_w_a_17,camp_8_w
8_w_a_18,camp_8_w
8_w_a_19,camp_8_w
8_w_a_22,camp_8_w
8_w_a_24,camp_8_w
8_w_a_25,camp_8_w
8_w_a_27,camp_8_w
