Annex I - Age and gender breakdown by block (as of 15 July 2019),,,,,,,,,,,,,,,
Camp,Block,Infant female below 1,"Infant 
male 
below 1",1-4 Children Female,1-4 Children Male,5-11 Children Female,5-11 Children Male,12-17 Children Female,12-17 Children Male,18-59 Adult Female,18-59 Adult Male,60+ Elderly Female,60+ Elderly Male,Total Families,Total Individuals
Camp 10,C10_A,105,113,524,538,674,694,397,361,1464,1073,114,85,1378,6142
,C10_B,124,121,475,495,579,684,376,381,1391,1054,122,102,1316,5904
,C10_C,125,122,542,526,658,770,394,337,1497,1181,94,92,1525,6338
,C10_D,66,76,298,342,442,477,271,314,1021,794,75,72,988,4248
,C10_E,119,103,441,480,601,632,363,360,1340,1099,118,89,1398,5745
,C10_F,88,85,313,345,441,490,344,330,1077,906,76,81,1046,4576
Camp 10 Total,,627,620,2593,2726,3395,3747,2145,2083,7790,6107,599,521,7651,32953
Camp 11,C11_A,87,69,375,385,536,548,289,326,1101,920,83,72,1061,4791
,C11_B,80,63,343,332,426,472,297,294,948,792,62,69,970,4178
,C11_C,110,135,434,463,665,751,459,434,1569,1296,119,84,1538,6519
,C11_D,104,112,418,414,624,623,403,410,1281,1044,114,100,1287,5647
,C11_E,75,85,359,368,517,567,313,330,1065,840,74,72,1054,4665
,C11_F,93,117,440,431,614,626,378,397,1328,1061,81,99,1251,5665
Camp 11 Total,,549,581,2369,2393,3382,3587,2139,2191,7292,5953,533,496,7161,31465
Camp 12,C12_A,102,97,461,490,704,805,489,477,1532,1177,124,92,1400,6550
,C12_B,106,106,489,521,710,810,461,486,1522,1184,125,110,1477,6630
,C12_C,101,85,415,450,579,645,431,378,1341,1039,114,90,1290,5668
,C12_D,94,99,386,407,558,544,330,302,1128,887,75,87,1111,4897
Camp 12 Total,,403,387,1751,1868,2551,2804,1711,1643,5523,4287,438,379,5278,23745
Camp 13,C13_A,119,113,488,570,738,851,457,472,1629,1241,128,126,1674,6932
,C13_B,98,115,444,493,674,723,454,440,1497,1217,135,126,1459,6416
,C13_C,75,95,404,378,520,467,288,303,1165,877,96,77,1187,4745
,C13_D,132,137,504,503,715,794,485,440,1445,1212,121,103,1480,6591
,C13_E,90,92,381,374,551,570,276,348,1175,897,72,60,1139,4886
,C13_F,118,123,501,508,810,826,484,501,1674,1317,124,125,1590,7111
